id;sku;name_en;name_no;description_short_en;description_short_no;description_long_en;description_long_no;brand;status;gtin;launch_date;end_date;categories;properties;technical_specs;country_of_origin;image_urls;seo_title_en;seo_title_no;seo_description_en;seo_description_no;keywords;standard_price_amount;standard_price_currency;sale_price_amount;sale_price_currency;cost_price_amount;cost_price_currency;quality_score;created_at;updated_at
sample-product-1;SAMPLE-001;Sample Product;Eksempel Produkt;A sample product for demonstration;Et eksempelprodukt for demonstrasjon;This is a detailed description of the sample product. It can contain multiple sentences and provide comprehensive information about the product.;Dette er en detaljert beskrivelse av eksempelproduktet. Det kan inneholde flere setninger og gi omfattende informasjon om produktet.;Sample Brand;active;1,23E+12;01/01/2024;;Electronics;;;;;;;;;;;;;;;;;;
TMS24054H;TMS24054H;Road cycling shoes TI-TECH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMS24054W;TMS24054W;Road cycling shoes TI-TECH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CZS25055H;CZS25055H;Unisex  road cycling shoes-OSCAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CZS25055R;CZS25055R;Unisex  road cycling shoes-OSCAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CZS25055W;CZS25055W;Unisex  road cycling shoes-OSCAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WS23041H;WS23041H;"Road cycling shoes
TPU +Nylon 25%GF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WS23041W;WS23041W;"Road cycling shoes
TPU +Nylon 25%GF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WS23041C;WS23041C;"Road cycling shoes
TPU +Nylon 25%GF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZS24043W;WZS24043W;Road cycling shoes??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZS24043H;WZS24043H;Road cycling shoes??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZS24043S;WZS24043S;Road cycling shoes??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZS24043C;WZS24043C;Road cycling shoes??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZS24047W;WZS24047W;"Unisex  road cycling shoes
Nylon Sole
Picasso 2.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
